,name_i,name_j,spearman,n_words
106,GloVe_CommonCrawl,PPMI_SVD_SouthFlorida,0.13469750219383,4955
107,GloVe_CommonCrawl,PPMI_SVD_EAT,0.2213589358324796,7754
108,GloVe_CommonCrawl,THINGS,0.3719872393004262,1546
109,GloVe_CommonCrawl,feature_overlap,0.4068862650145715,4382
110,GloVe_CommonCrawl,norms_sensorimotor,0.1173234056384674,35053
111,GloVe_CommonCrawl,compo_attribs,0.3777594356811762,532
112,GloVe_CommonCrawl,SVD_sim_rel,0.0162794404751757,5982
113,GloVe_CommonCrawl,microarray,0.1771998495273448,622
114,GloVe_CommonCrawl,EEG_speech,0.1019813206429278,1581
115,GloVe_CommonCrawl,EEG_text,0.064197564658845,3313
116,GloVe_CommonCrawl,fMRI_speech_cognival,0.0024222394706002,570
117,GloVe_CommonCrawl,fMRI_text_cognival,0.0255934150066844,1164
118,GloVe_CommonCrawl,fMRI_text_denoise,-0.0042871739213437,1125
119,GloVe_CommonCrawl,eye_tracking,0.1441231750088909,7371
120,GloVe_Twitter,GloVe_Wikipedia,0.3661713473103402,32648
121,GloVe_Twitter,LexVec_CommonCrawl,0.3405424091302334,32891
122,GloVe_Twitter,morphoNLM,0.2230454306975242,29423
123,GloVe_Twitter,spherical_text_Wikipedia,0.2623345673143871,31311
124,GloVe_Twitter,PPMI_SVD_SWOW,0.2537596998803107,11486
125,GloVe_Twitter,SGSoftMaxInput_SWOW,0.1903085993330548,11486
126,GloVe_Twitter,SGSoftMaxOutput_SWOW,-0.0059990767311746,23530
127,GloVe_Twitter,PPMI_SVD_SouthFlorida,0.1009406657696323,4957
128,GloVe_Twitter,PPMI_SVD_EAT,0.1547110322402971,7622
129,GloVe_Twitter,THINGS,0.2482409108736359,1504
130,GloVe_Twitter,feature_overlap,0.2265736767489996,4370
131,GloVe_Twitter,norms_sensorimotor,0.1060484403093385,25791
132,GloVe_Twitter,compo_attribs,0.2629772260926655,532
