embed,norm,train_n,fold,r2,check
BERT_base&CBOW_GoogleNews,pos_vanheuven,5787,5,0.6559193015222451,pass
BERT_base&CBOW_GoogleNews,concreteness_brysbaert,5832,1,0.8416229259786341,pass
BERT_base&CBOW_GoogleNews,concreteness_brysbaert,5832,2,0.821617982565055,pass
BERT_base&CBOW_GoogleNews,concreteness_brysbaert,5832,3,0.8430239654270657,pass
BERT_base&CBOW_GoogleNews,concreteness_brysbaert,5832,4,0.8376114901937577,pass
BERT_base&CBOW_GoogleNews,concreteness_brysbaert,5832,5,0.8220881967896646,pass
BERT_base&CBOW_GoogleNews,concreteness_glasgow,2762,1,0.8615203689534892,pass
BERT_base&CBOW_GoogleNews,concreteness_glasgow,2762,2,0.8384154356825272,pass
BERT_base&CBOW_GoogleNews,concreteness_glasgow,2762,3,0.852560859943081,pass
BERT_base&CBOW_GoogleNews,concreteness_glasgow,2762,4,0.8494295946165433,pass
BERT_base&CBOW_GoogleNews,concreteness_glasgow,2762,5,0.8254222380201286,pass
BERT_base&CBOW_GoogleNews,imageability_glasgow,2762,1,0.8014739398369964,pass
BERT_base&CBOW_GoogleNews,imageability_glasgow,2762,2,0.7786495601729244,pass
BERT_base&CBOW_GoogleNews,imageability_glasgow,2762,3,0.7829020000101719,pass
BERT_base&CBOW_GoogleNews,imageability_glasgow,2762,4,0.7968110631498785,pass
BERT_base&CBOW_GoogleNews,imageability_glasgow,2762,5,0.753966114121057,pass
BERT_base&CBOW_GoogleNews,n_senses_wordnet_miller,5803,1,0.46422666633573817,pass
BERT_base&CBOW_GoogleNews,n_senses_wordnet_miller,5803,2,0.5065394558127665,pass
BERT_base&CBOW_GoogleNews,n_senses_wordnet_miller,5803,3,0.4478564738804106,pass
BERT_base&CBOW_GoogleNews,n_senses_wordnet_miller,5803,4,0.4902850180820598,pass
BERT_base&CBOW_GoogleNews,n_senses_wordnet_miller,5803,5,0.47845901666658863,pass
BERT_base&CBOW_GoogleNews,n_senses_wordsmyth_rice,365,1,0.3409543857536321,pass
BERT_base&CBOW_GoogleNews,n_senses_wordsmyth_rice,365,2,0.14725457683073373,pass
BERT_base&CBOW_GoogleNews,n_senses_wordsmyth_rice,365,3,0.2673846990723677,pass
BERT_base&CBOW_GoogleNews,n_senses_wordsmyth_rice,365,4,0.2841554225438876,pass
BERT_base&CBOW_GoogleNews,n_senses_wordsmyth_rice,365,5,0.32275916543169314,pass
BERT_base&CBOW_GoogleNews,n_meanings_wordsmyth_rice,365,1,-0.02023828287732532,pass
BERT_base&CBOW_GoogleNews,n_meanings_wordsmyth_rice,365,2,-0.008382968993260409,pass
BERT_base&CBOW_GoogleNews,n_meanings_wordsmyth_rice,365,3,-0.07463379793177394,pass
BERT_base&CBOW_GoogleNews,n_meanings_wordsmyth_rice,365,4,-0.012021678278065773,pass
BERT_base&CBOW_GoogleNews,n_meanings_wordsmyth_rice,365,5,-0.03441698087213463,pass
BERT_base&CBOW_GoogleNews,n_meanings_websters_gao,5596,1,0.30010440327483123,pass
BERT_base&CBOW_GoogleNews,n_meanings_websters_gao,5596,2,0.2988452220379636,pass
BERT_base&CBOW_GoogleNews,n_meanings_websters_gao,5596,3,0.2925722803377545,pass
BERT_base&CBOW_GoogleNews,n_meanings_websters_gao,5596,4,0.3271696572609232,pass
BERT_base&CBOW_GoogleNews,n_meanings_websters_gao,5596,5,0.35642914429451034,pass
BERT_base&CBOW_GoogleNews,n_features_buchanan,2787,1,0.23520149779256172,pass
BERT_base&CBOW_GoogleNews,n_features_buchanan,2787,2,0.184738312193092,pass
BERT_base&CBOW_GoogleNews,n_features_buchanan,2787,3,0.22326389785137457,pass
BERT_base&CBOW_GoogleNews,n_features_buchanan,2787,4,0.22332687673291873,pass
BERT_base&CBOW_GoogleNews,n_features_buchanan,2787,5,0.18296002271026623,pass
BERT_base&CBOW_GoogleNews,visual_lancaster,5828,1,0.5391480510303394,pass
BERT_base&CBOW_GoogleNews,visual_lancaster,5828,2,0.48447907649783695,pass
BERT_base&CBOW_GoogleNews,visual_lancaster,5828,3,0.5513687893197838,pass
BERT_base&CBOW_GoogleNews,visual_lancaster,5828,4,0.5365775030428981,pass
BERT_base&CBOW_GoogleNews,visual_lancaster,5828,5,0.52081935821138,pass
BERT_base&CBOW_GoogleNews,auditory_lancaster,5828,1,0.6343305486681201,pass
BERT_base&CBOW_GoogleNews,auditory_lancaster,5828,2,0.5636884801009978,pass
BERT_base&CBOW_GoogleNews,auditory_lancaster,5828,3,0.6254061355759647,pass
BERT_base&CBOW_GoogleNews,auditory_lancaster,5828,4,0.6283946878394315,pass
BERT_base&CBOW_GoogleNews,auditory_lancaster,5828,5,0.616174514935079,pass
BERT_base&CBOW_GoogleNews,haptic_lancaster,5828,1,0.6288857145283375,pass
BERT_base&CBOW_GoogleNews,haptic_lancaster,5828,2,0.5987599879044809,pass
BERT_base&CBOW_GoogleNews,haptic_lancaster,5828,3,0.6331065289998659,pass
BERT_base&CBOW_GoogleNews,haptic_lancaster,5828,4,0.6357841662836725,pass
BERT_base&CBOW_GoogleNews,haptic_lancaster,5828,5,0.6379277766748516,pass
BERT_base&CBOW_GoogleNews,olfactory_lancaster,5828,1,0.638252328408428,pass
BERT_base&CBOW_GoogleNews,olfactory_lancaster,5828,2,0.5759263341330523,pass
BERT_base&CBOW_GoogleNews,olfactory_lancaster,5828,3,0.565117581078282,pass
BERT_base&CBOW_GoogleNews,olfactory_lancaster,5828,4,0.6246469430587023,pass
BERT_base&CBOW_GoogleNews,olfactory_lancaster,5828,5,0.5614207965710005,pass
BERT_base&CBOW_GoogleNews,gustatory_lancaster,5828,1,0.7649708787004715,pass
BERT_base&CBOW_GoogleNews,gustatory_lancaster,5828,2,0.6386774677105997,pass
BERT_base&CBOW_GoogleNews,gustatory_lancaster,5828,3,0.7038053369375793,pass
BERT_base&CBOW_GoogleNews,gustatory_lancaster,5828,4,0.739853314708655,pass
BERT_base&CBOW_GoogleNews,gustatory_lancaster,5828,5,0.717258845718918,pass
BERT_base&CBOW_GoogleNews,interoceptive_lancaster,5828,1,0.649393877174065,pass
BERT_base&CBOW_GoogleNews,interoceptive_lancaster,5828,2,0.6659459684046531,pass
BERT_base&CBOW_GoogleNews,interoceptive_lancaster,5828,3,0.6875150687606906,pass
BERT_base&CBOW_GoogleNews,interoceptive_lancaster,5828,4,0.6311992660647395,pass
BERT_base&CBOW_GoogleNews,interoceptive_lancaster,5828,5,0.6512224838458059,pass
BERT_base&CBOW_GoogleNews,head_lancaster,5828,1,0.403400406466075,pass
BERT_base&CBOW_GoogleNews,head_lancaster,5828,2,0.35691500143718957,pass
BERT_base&CBOW_GoogleNews,head_lancaster,5828,3,0.40446581209378163,pass
BERT_base&CBOW_GoogleNews,head_lancaster,5828,4,0.38856823449779176,pass
BERT_base&CBOW_GoogleNews,head_lancaster,5828,5,0.385352638455171,pass
BERT_base&CBOW_GoogleNews,torso_lancaster,5828,1,0.5179238357027962,pass
BERT_base&CBOW_GoogleNews,torso_lancaster,5828,2,0.4581808779498807,pass
BERT_base&CBOW_GoogleNews,torso_lancaster,5828,3,0.43691009018982596,pass
BERT_base&CBOW_GoogleNews,torso_lancaster,5828,4,0.460982012483774,pass
BERT_base&CBOW_GoogleNews,torso_lancaster,5828,5,0.49011934865877815,pass
BERT_base&CBOW_GoogleNews,mouth_throat_lancaster,5828,1,0.6112755033485291,pass
BERT_base&CBOW_GoogleNews,mouth_throat_lancaster,5828,2,0.5377431941528673,pass
BERT_base&CBOW_GoogleNews,mouth_throat_lancaster,5828,3,0.5374507489146609,pass
BERT_base&CBOW_GoogleNews,mouth_throat_lancaster,5828,4,0.5871165379203336,pass
