embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,n_meanings_websters_gao,5596,3,0.31675802759503446,pass
BERT_base&Llama_3_8B,n_meanings_websters_gao,5596,4,0.32748166330298734,pass
BERT_base&Llama_3_8B,n_meanings_websters_gao,5596,5,0.3552791184282299,pass
BERT_base&Llama_3_8B,n_features_buchanan,2787,1,0.2347480302495295,pass
BERT_base&Llama_3_8B,n_features_buchanan,2787,2,0.21465573630892154,pass
BERT_base&Llama_3_8B,n_features_buchanan,2787,3,0.24586675896749643,pass
BERT_base&Llama_3_8B,n_features_buchanan,2787,4,0.26908764893239545,pass
BERT_base&Llama_3_8B,n_features_buchanan,2787,5,0.20300747230639937,pass
BERT_base&Llama_3_8B,visual_lancaster,5828,1,0.5492879671948175,pass
BERT_base&Llama_3_8B,visual_lancaster,5828,2,0.5004730685193115,pass
BERT_base&Llama_3_8B,visual_lancaster,5828,3,0.540344154057004,pass
BERT_base&Llama_3_8B,visual_lancaster,5828,4,0.5417433797043514,pass
BERT_base&Llama_3_8B,visual_lancaster,5828,5,0.5429771702790316,pass
BERT_base&Llama_3_8B,auditory_lancaster,5828,1,0.6396820027380328,pass
BERT_base&Llama_3_8B,auditory_lancaster,5828,2,0.5674410177837848,pass
BERT_base&Llama_3_8B,auditory_lancaster,5828,3,0.6323806909146384,pass
BERT_base&Llama_3_8B,auditory_lancaster,5828,4,0.638368491888849,pass
BERT_base&Llama_3_8B,auditory_lancaster,5828,5,0.640809170268926,pass
BERT_base&Llama_3_8B,haptic_lancaster,5828,1,0.6410572453861352,pass
BERT_base&Llama_3_8B,haptic_lancaster,5828,2,0.5995808089008083,pass
BERT_base&Llama_3_8B,haptic_lancaster,5828,3,0.6366658164955357,pass
BERT_base&Llama_3_8B,haptic_lancaster,5828,4,0.6461413801808376,pass
BERT_base&Llama_3_8B,haptic_lancaster,5828,5,0.6337360796862008,pass
BERT_base&Llama_3_8B,olfactory_lancaster,5828,1,0.661438800588313,pass
BERT_base&Llama_3_8B,olfactory_lancaster,5828,2,0.6080930425719702,pass
BERT_base&Llama_3_8B,olfactory_lancaster,5828,3,0.6022272551380634,pass
