embed,embed_type,norm,train_n,p,r2_mean,r2_sd,check
CBOW_GoogleNews,text,meaningfulness_stration,410,300,0.2708503162319415,0.04097064300661628,pass
CBOW_GoogleNews,text,valence_garrido,251,300,0.6394358108124361,0.05504600171960639,pass
CBOW_GoogleNews,text,emotionality_garrido,251,300,0.4320245326654401,0.05336484392846588,pass
CBOW_GoogleNews,text,familiarity_garrido,251,300,0.26742802666698723,0.031249552983419582,pass
CBOW_GoogleNews,text,angry_zupan,379,300,0.5795744919813691,0.06481230199206758,pass
CBOW_GoogleNews,text,fearful_zupan,379,300,0.6486639449980853,0.09036605896762538,pass
CBOW_GoogleNews,text,happy_zupan,379,300,0.7134583925124124,0.023994819686003775,pass
CBOW_GoogleNews,text,intensity_zupan,379,300,0.40364161375230995,0.07249186471430619,pass
CBOW_GoogleNews,text,neutral_zupan,379,300,0.4342071957248109,0.08109064112550643,pass
CBOW_GoogleNews,text,sad_zupan,379,300,0.6305421035942071,0.0723920443921413,pass
CBOW_GoogleNews,text,valence_zupan,379,300,0.733061810451555,0.03769040937073897,pass
CBOW_GoogleNews,text,aoa_bird,1874,300,0.6167166870419524,0.023546747572144807,pass
CBOW_GoogleNews,text,imageability_bird,1359,300,0.49277953615385817,0.02929194816828569,pass
CBOW_GoogleNews,text,rt_ley,189,300,0.1340093643765976,0.020555520996675323,pass
CBOW_GoogleNews,text,meaningfulness_ley,189,300,0.31475115674226767,0.038652348882876705,pass
CBOW_GoogleNews,text,happiness_stevenson,820,300,0.6897585592894593,0.0327887769913243,pass
CBOW_GoogleNews,text,anger_stevenson,820,300,0.7049313217115305,0.012321739735759863,pass
CBOW_GoogleNews,text,sadness_stevenson,820,300,0.6357908552814916,0.022198128598074213,pass
CBOW_GoogleNews,text,fear_stevenson,820,300,0.6735463215811838,0.036360119098003525,pass
CBOW_GoogleNews,text,disgust_stevenson,820,300,0.6878673215714104,0.036033623739809804,pass
CBOW_GoogleNews,text,iconicity_perry,2380,300,0.3500876913901645,0.03224513214734452,pass
CBOW_GoogleNews,text,goodness_brown,504,300,0.5705882628924938,0.03230932814538003,pass
CBOW_GoogleNews,text,pleasantness_brown,504,300,0.5787132464647075,0.025560131557562496,pass
CBOW_GoogleNews,text,emotionality_brown,504,300,0.581524798315324,0.03672132657066051,pass
CBOW_GoogleNews,text,concreteness_brown,504,300,0.6744918431743165,0.032655671968735304,pass
CBOW_GoogleNews,text,meaningfulness_brown,504,300,0.38604627909147327,0.02160737931033217,pass
